Label,Field Type,Requirement Designation,Validation,Multiple,Controlled Vocabulary,Default Value,Display Name,Display Transformation,Index Type,Help Text,Core Field
title,string,required,character_encoding,false,no_vocabulary,,Title,no_transformation,no_facet,help me,true
home_collection_id,valkyrie_id,optional,resource_exists,false,cho_collections,,Collection,render_link_to_collection,facet,help me,false
alternate_ids,alternate_id,required_to_publish,unique,true,no_vocabulary,,Identifier,no_transformation,no_facet,help me,true
creator,creator,optional,creator,true,creator_vocabulary,,Creator,no_transformation,linked_field,help me,true
date_created,string,required_to_publish,no_validation,true,no_vocabulary,,Date Created,no_transformation,date,help me,true
subject,string,optional,character_encoding,true,no_vocabulary,,Subject,no_transformation,no_facet,help me,true
location,string,optional,character_encoding,true,no_vocabulary,,Location,no_transformation,no_facet,help me,true
description,text,optional,character_encoding,true,no_vocabulary,,Description,no_transformation,no_facet,help me,true
acknowledgments,text,optional,character_encoding,true,no_vocabulary,,,paragraph_heading,no_facet,help me,false
narrative,text,optional,character_encoding,true,no_vocabulary,,Narrative,paragraph,no_facet,help me,false
genre,string,required_to_publish,no_validation,true,no_vocabulary,,Genre,no_transformation,no_facet,help me,true
collection,string,required_to_publish,no_validation,true,no_vocabulary,,Collection,no_transformation,no_facet,help me,true
repository,string,required_to_publish,no_validation,true,no_vocabulary,,Repository,no_transformation,no_facet,help me,true
rights_statement,string,required_to_publish,no_validation,false,no_vocabulary,,Rights Statement,no_transformation,facet,help me,true
resource_type,string,required_to_publish,no_validation,true,no_vocabulary,,Resource Type,no_transformation,no_facet,help me,true
file_format,string,required_to_publish,no_validation,true,no_vocabulary,,File Format,no_transformation,no_facet,help me,true
cataloger,string,optional,no_validation,true,no_vocabulary,,Cataloger,no_transformation,no_facet,help me,true
date_cataloged,date,optional,edtf_date,true,no_vocabulary,,Date Cataloged,no_transformation,date,help me,true
contributor,string,optional,no_validation,true,no_vocabulary,,Contributor,no_transformation,no_facet,help me,false
time_period,string,optional,no_validation,true,no_vocabulary,,Time Period,no_transformation,no_facet,help me,false
language,string,optional,no_validation,true,no_vocabulary,,Language,no_transformation,no_facet,help me,false
physical_description,string,optional,no_validation,true,no_vocabulary,,Physical Description,no_transformation,no_facet,help me,false
publisher,string,optional,no_validation,true,no_vocabulary,,Publisher,no_transformation,no_facet,help me,false
place,string,optional,no_validation,true,no_vocabulary,,Place of Publication,no_transformation,no_facet,help me,false
series,string,optional,no_validation,true,no_vocabulary,,Series,no_transformation,no_facet,help me,false
box,string,optional,no_validation,true,no_vocabulary,,Box and Folder,no_transformation,no_facet,help me,false
finding_aid,string,optional,no_validation,true,no_vocabulary,,Finding Aid,no_transformation,no_facet,help me,false
access_rights,string,optional,no_validation,true,no_vocabulary,,Access Rights,no_transformation,no_facet,help me,false
alternate_title,string,optional,no_validation,true,no_vocabulary,,Alternate Title,no_transformation,no_facet,help me,false
scale,string,optional,no_validation,true,no_vocabulary,,Scale,no_transformation,no_facet,help me,false
projection,string,optional,no_validation,true,no_vocabulary,,Projection,no_transformation,no_facet,help me,false
coordinates,string,required_to_publish,no_validation,true,no_vocabulary,,Coordinates,no_transformation,no_facet,help me,false
long_west,string,required_to_publish,no_validation,true,no_vocabulary,,Longitude West,no_transformation,no_facet,help me,false
long_east,string,required_to_publish,no_validation,true,no_vocabulary,,Longitude East,no_transformation,no_facet,help me,false
lat_north,string,required_to_publish,no_validation,true,no_vocabulary,,Latitude North,no_transformation,no_facet,help me,false
lat_south,string,required_to_publish,no_validation,true,no_vocabulary,,Latitude South,no_transformation,no_facet,help me,false
